LETO;STATISTICNA_REGIJA;SPOL;STAROST;PLACE
2011;Podravska;ženske;25-34;1258
2011;Podravska;moški;35-44;1568
2011;Podravska;ženske;35-44;1441
2011;Podravska;moški;45-54;1593
2011;Podravska;ženske;45-54;1511
2011;Podravska;moški;55-64;1830
2011;Podravska;ženske;55-64;1891
2011;Podravska;moški;65 ali več;4162
2011;Podravska;ženske;65 ali več;3811
2011;Pomurska;moški;15-24;996
2011;Pomurska;ženske;15-24;946
2011;Pomurska;moški;25-34;1250
2011;Pomurska;ženske;25-34;1220
2011;Pomurska;moški;35-44;1436
2011;Pomurska;ženske;35-44;1352
2011;Pomurska;moški;45-54;1489
2011;Pomurska;ženske;45-54;1463
2011;Pomurska;moški;55-64;1640
2011;Pomurska;ženske;55-64;1858
2011;Pomurska;moški;65 ali več;3803
2011;Posavska;moški;15-24;1064
2011;Posavska;ženske;15-24;1000
2011;Posavska;moški;25-34;1341
2011;Posavska;ženske;25-34;1310
2011;Posavska;moški;35-44;1526
2011;Posavska;ženske;35-44;1425
2011;Posavska;moški;45-54;1616
2011;Posavska;ženske;45-54;1479
2011;Posavska;moški;55-64;1901
2011;Posavska;ženske;55-64;1879
2011;Posavska;moški;65 ali več;3877
2011;Primorsko-notranjska;moški;15-24;996
2011;Primorsko-notranjska;ženske;15-24;986
2011;Primorsko-notranjska;moški;25-34;1306
2011;Primorsko-notranjska;ženske;25-34;1286
2011;Primorsko-notranjska;moški;35-44;1517
2011;Primorsko-notranjska;ženske;35-44;1394
2011;Primorsko-notranjska;moški;45-54;1549
2011;Primorsko-notranjska;ženske;45-54;1480
2011;Primorsko-notranjska;moški;55-64;1751
2011;Primorsko-notranjska;ženske;55-64;1768
2011;Primorsko-notranjska;moški;65 ali več;3152
2011;Savinjska;moški;15-24;1037
2011;Savinjska;ženske;15-24;994
2011;Savinjska;moški;25-34;1329
2011;Savinjska;ženske;25-34;1248
2011;Savinjska;moški;35-44;1548
2011;Savinjska;ženske;35-44;1401
2011;Savinjska;moški;45-54;1612
2011;Savinjska;ženske;45-54;1463
2011;Savinjska;moški;55-64;1822
2011;Savinjska;ženske;55-64;1826
2011;Savinjska;moški;65 ali več;3863
2011;Zasavska;moški;15-24;1040
2011;Zasavska;ženske;15-24;960
2011;Zasavska;moški;25-34;1319
2011;Zasavska;ženske;25-34;1272
2011;Zasavska;moški;35-44;1627
2011;Zasavska;ženske;35-44;1425
2011;Zasavska;moški;45-54;1629
2011;Zasavska;ženske;45-54;1462
2011;Zasavska;moški;55-64;1825
2011;Zasavska;ženske;55-64;1795
2012;Gorenjska;moški;15-24;1067
2012;Gorenjska;ženske;15-24;993
2012;Gorenjska;moški;25-34;1427
2012;Gorenjska;ženske;25-34;1326
2012;Gorenjska;moški;35-44;1766
2012;Gorenjska;ženske;35-44;1565
2012;Gorenjska;moški;45-54;1748
2012;Gorenjska;ženske;45-54;1558
2012;Gorenjska;moški;55-64;1896
2012;Gorenjska;ženske;55-64;1964
2012;Gorenjska;moški;65 ali več;4267
2012;Goriška;moški;15-24;1029
2012;Goriška;ženske;15-24;955
2012;Goriška;moški;25-34;1335
2012;Goriška;ženske;25-34;1258
2012;Goriška;moški;35-44;1626
2012;Goriška;ženske;35-44;1463
2012;Goriška;moški;45-54;1686
2012;Goriška;ženske;45-54;1544
2012;Goriška;moški;55-64;1964
2012;Goriška;ženske;55-64;1943
2012;Goriška;moški;65 ali več;4096
2012;Jugovzhodna Slovenija;moški;15-24;1071
2012;Jugovzhodna Slovenija;ženske;15-24;1063
2012;Jugovzhodna Slovenija;moški;25-34;1400
2012;Jugovzhodna Slovenija;ženske;25-34;1333
2012;Jugovzhodna Slovenija;moški;35-44;1597
2012;Jugovzhodna Slovenija;ženske;35-44;1554
2012;Jugovzhodna Slovenija;moški;45-54;1703
2012;Jugovzhodna Slovenija;ženske;45-54;1614
2012;Jugovzhodna Slovenija;moški;55-64;1808
2012;Jugovzhodna Slovenija;ženske;55-64;2140
2012;Jugovzhodna Slovenija;moški;65 ali več;3888
2012;Koroška;moški;15-24;1077
2012;Koroška;ženske;15-24;980
2012;Koroška;moški;25-34;1316
2012;Koroška;ženske;25-34;1204
2012;Koroška;moški;35-44;1540
2012;Koroška;ženske;35-44;1424
2012;Koroška;moški;45-54;1614
2012;Koroška;ženske;45-54;1541
2012;Koroška;moški;55-64;1813
2012;Koroška;ženske;55-64;1949
2012;Koroška;moški;65 ali več;3753
2012;Obalno-kraška;moški;15-24;1028
2012;Obalno-kraška;ženske;15-24;987
2012;Obalno-kraška;moški;25-34;1388
2012;Obalno-kraška;ženske;25-34;1307
2012;Obalno-kraška;moški;35-44;1743
2012;Obalno-kraška;ženske;35-44;1576
2012;Obalno-kraška;moški;45-54;1792
2012;Obalno-kraška;ženske;45-54;1611
2012;Obalno-kraška;moški;55-64;1968
2012;Obalno-kraška;ženske;55-64;1868
