"";"LETO";"STATISTICNA_REGIJA";"SPOL";"STAROST";"PLACE"
"1032";2011;"Savinjska";"moški";"15-24";1037
"1033";2011;"Savinjska";"moški";"25-34";1329
"1034";2011;"Savinjska";"moški";"35-44";1548
"1035";2011;"Savinjska";"moški";"45-54";1612
"1036";2011;"Savinjska";"moški";"55-64";1822
"1037";2012;"Savinjska";"moški";"Skupaj";1543
"1038";2012;"Savinjska";"moški";"15-64";1540
"1039";2012;"Savinjska";"moški";"15-24";1081
"1040";2012;"Savinjska";"moški";"25-34";1339
"1041";2012;"Savinjska";"moški";"35-44";1585
"1042";2012;"Savinjska";"moški";"45-54";1651
"1043";2012;"Savinjska";"moški";"55-64";1819
"1044";2013;"Savinjska";"moški";"Skupaj";1546
"1045";2013;"Savinjska";"moški";"15-64";1543
"1046";2013;"Savinjska";"moški";"15-24";1094
"1047";2013;"Savinjska";"moški";"25-34";1330
"1048";2013;"Savinjska";"moški";"35-44";1579
"1049";2013;"Savinjska";"moški";"45-54";1651
"1050";2013;"Savinjska";"moški";"55-64";1808
"1051";2014;"Savinjska";"moški";"Skupaj";1590
"1052";2014;"Savinjska";"moški";"15-64";1587
"1053";2014;"Savinjska";"moški";"15-24";1122
"1054";2014;"Savinjska";"moški";"25-34";1362
"1055";2014;"Savinjska";"moški";"35-44";1629
"1056";2014;"Savinjska";"moški";"45-54";1690
"1057";2014;"Savinjska";"moški";"55-64";1823
"1058";2015;"Savinjska";"moški";"Skupaj";1605
"1059";2015;"Savinjska";"moški";"15-64";1602
"1060";2015;"Savinjska";"moški";"15-24";1130
"1061";2015;"Savinjska";"moški";"25-34";1372
"1062";2015;"Savinjska";"moški";"35-44";1644
"1063";2015;"Savinjska";"moški";"45-54";1696
"1064";2015;"Savinjska";"moški";"55-64";1848
"1065";2016;"Savinjska";"moški";"Skupaj";1628
"1066";2016;"Savinjska";"moški";"15-64";1625
"1067";2016;"Savinjska";"moški";"15-24";1122
"1068";2016;"Savinjska";"moški";"25-34";1388
"1069";2016;"Savinjska";"moški";"35-44";1663
"1070";2016;"Savinjska";"moški";"45-54";1724
"1071";2016;"Savinjska";"moški";"55-64";1858
"1072";2017;"Savinjska";"moški";"Skupaj";1678
"1073";2017;"Savinjska";"moški";"15-64";1675
"1074";2017;"Savinjska";"moški";"15-24";1168
"1075";2017;"Savinjska";"moški";"25-34";1435
"1076";2017;"Savinjska";"moški";"35-44";1708
"1077";2017;"Savinjska";"moški";"45-54";1782
"1078";2017;"Savinjska";"moški";"55-64";1893
"1079";2018;"Savinjska";"moški";"Skupaj";1739
"1080";2018;"Savinjska";"moški";"15-64";1734
"1081";2018;"Savinjska";"moški";"15-24";1256
"1082";2018;"Savinjska";"moški";"25-34";1502
"1083";2018;"Savinjska";"moški";"35-44";1774
"1084";2018;"Savinjska";"moški";"45-54";1835
"1085";2018;"Savinjska";"moški";"55-64";1929
"1086";2019;"Savinjska";"moški";"Skupaj";1787
"1087";2019;"Savinjska";"moški";"15-64";1782
"1088";2019;"Savinjska";"moški";"15-24";1286
"1089";2019;"Savinjska";"moški";"25-34";1556
"1090";2019;"Savinjska";"moški";"35-44";1825
"1091";2019;"Savinjska";"moški";"45-54";1894
"1092";2019;"Savinjska";"moški";"55-64";1966
"1093";2008;"Savinjska";"ženske";"Skupaj";1251
"1094";2008;"Savinjska";"ženske";"15-64";1250
"1095";2008;"Savinjska";"ženske";"15-24";838
"1096";2008;"Savinjska";"ženske";"25-34";1121
"1097";2008;"Savinjska";"ženske";"35-44";1240
"1098";2008;"Savinjska";"ženske";"45-54";1324
"1099";2008;"Savinjska";"ženske";"55-64";1695
"1100";2009;"Savinjska";"ženske";"Skupaj";1315
"1101";2009;"Savinjska";"ženske";"15-64";1314
"1102";2009;"Savinjska";"ženske";"15-24";874
"1103";2009;"Savinjska";"ženske";"25-34";1174
"1104";2009;"Savinjska";"ženske";"35-44";1299
"1105";2009;"Savinjska";"ženske";"45-54";1391
"1106";2009;"Savinjska";"ženske";"55-64";1766
"1107";2010;"Savinjska";"ženske";"Skupaj";1373
"1108";2010;"Savinjska";"ženske";"15-64";1373
"1109";2010;"Savinjska";"ženske";"15-24";944
"1110";2010;"Savinjska";"ženske";"25-34";1217
"1111";2010;"Savinjska";"ženske";"35-44";1363
"1112";2010;"Savinjska";"ženske";"45-54";1443
"1113";2010;"Savinjska";"ženske";"55-64";1860
"1114";2011;"Savinjska";"ženske";"Skupaj";1409
"1115";2011;"Savinjska";"ženske";"15-64";1409
"1116";2011;"Savinjska";"ženske";"15-24";994
"1117";2011;"Savinjska";"ženske";"25-34";1248
"1118";2011;"Savinjska";"ženske";"35-44";1401
"1119";2011;"Savinjska";"ženske";"45-54";1463
"1120";2011;"Savinjska";"ženske";"55-64";1826
"1121";2012;"Savinjska";"ženske";"Skupaj";1425
"1122";2012;"Savinjska";"ženske";"15-64";1425
"1123";2012;"Savinjska";"ženske";"15-24";1019
"1124";2012;"Savinjska";"ženske";"25-34";1258
"1125";2012;"Savinjska";"ženske";"35-44";1420
"1126";2012;"Savinjska";"ženske";"45-54";1475
"1127";2012;"Savinjska";"ženske";"55-64";1823
"1128";2013;"Savinjska";"ženske";"Skupaj";1428
"1129";2013;"Savinjska";"ženske";"15-64";1427
"1130";2013;"Savinjska";"ženske";"15-24";992
"1131";2013;"Savinjska";"ženske";"25-34";1254
"1132";2013;"Savinjska";"ženske";"35-44";1427
"1133";2013;"Savinjska";"ženske";"45-54";1465
"1134";2013;"Savinjska";"ženske";"55-64";1742
"1135";2014;"Savinjska";"ženske";"Skupaj";1463
"1136";2014;"Savinjska";"ženske";"15-64";1462
"1137";2014;"Savinjska";"ženske";"15-24";995
"1138";2014;"Savinjska";"ženske";"25-34";1270
"1139";2014;"Savinjska";"ženske";"35-44";1464
"1140";2014;"Savinjska";"ženske";"45-54";1498
"1141";2014;"Savinjska";"ženske";"55-64";1713
"1142";2015;"Savinjska";"ženske";"Skupaj";1476
"1143";2015;"Savinjska";"ženske";"15-64";1476
"1144";2015;"Savinjska";"ženske";"15-24";952
"1145";2015;"Savinjska";"ženske";"25-34";1276
"1146";2015;"Savinjska";"ženske";"35-44";1479
"1147";2015;"Savinjska";"ženske";"45-54";1499
"1148";2015;"Savinjska";"ženske";"55-64";1718
"1149";2016;"Savinjska";"ženske";"Skupaj";1510
"1150";2016;"Savinjska";"ženske";"15-64";1509
"1151";2016;"Savinjska";"ženske";"15-24";993
"1152";2016;"Savinjska";"ženske";"25-34";1293
"1153";2016;"Savinjska";"ženske";"35-44";1517
"1154";2016;"Savinjska";"ženske";"45-54";1530
"1155";2016;"Savinjska";"ženske";"55-64";1725
"1156";2017;"Savinjska";"ženske";"Skupaj";1540
"1157";2017;"Savinjska";"ženske";"15-64";1539
"1158";2017;"Savinjska";"ženske";"15-24";1016
"1159";2017;"Savinjska";"ženske";"25-34";1306
"1160";2017;"Savinjska";"ženske";"35-44";1547
"1161";2017;"Savinjska";"ženske";"45-54";1573
"1162";2017;"Savinjska";"ženske";"55-64";1736
"1163";2018;"Savinjska";"ženske";"Skupaj";1578
"1164";2018;"Savinjska";"ženske";"15-64";1577
"1165";2018;"Savinjska";"ženske";"15-24";1063
"1166";2018;"Savinjska";"ženske";"25-34";1342
"1167";2018;"Savinjska";"ženske";"35-44";1588
"1168";2018;"Savinjska";"ženske";"45-54";1612
"1169";2018;"Savinjska";"ženske";"55-64";1769
"1170";2019;"Savinjska";"ženske";"Skupaj";1650
"1171";2019;"Savinjska";"ženske";"15-64";1648
"1172";2019;"Savinjska";"ženske";"15-24";1115
"1173";2019;"Savinjska";"ženske";"25-34";1391
"1174";2019;"Savinjska";"ženske";"35-44";1664
"1175";2019;"Savinjska";"ženske";"45-54";1687
"1176";2019;"Savinjska";"ženske";"55-64";1834
"1177";2008;"Savinjska";"Skupaj";"Skupaj";1320
"1178";2008;"Savinjska";"Skupaj";"15-64";1319
"1179";2008;"Savinjska";"Skupaj";"15-24";879
"1180";2008;"Savinjska";"Skupaj";"25-34";1180
"1181";2008;"Savinjska";"Skupaj";"35-44";1325
"1182";2008;"Savinjska";"Skupaj";"45-54";1407
"1183";2008;"Savinjska";"Skupaj";"55-64";1683
"1184";2009;"Savinjska";"Skupaj";"Skupaj";1353
"1185";2009;"Savinjska";"Skupaj";"15-64";1352
"1186";2009;"Savinjska";"Skupaj";"15-24";882
"1187";2009;"Savinjska";"Skupaj";"25-34";1204
"1188";2009;"Savinjska";"Skupaj";"35-44";1361
"1189";2009;"Savinjska";"Skupaj";"45-54";1448
"1190";2009;"Savinjska";"Skupaj";"55-64";1684
"1191";2010;"Savinjska";"Skupaj";"Skupaj";1425
"1192";2010;"Savinjska";"Skupaj";"15-64";1423
"1193";2010;"Savinjska";"Skupaj";"15-24";963
"1194";2010;"Savinjska";"Skupaj";"25-34";1265
"1195";2010;"Savinjska";"Skupaj";"35-44";1431
"1196";2010;"Savinjska";"Skupaj";"45-54";1511
"1197";2010;"Savinjska";"Skupaj";"55-64";1802
"1198";2011;"Savinjska";"Skupaj";"Skupaj";1467
"1199";2011;"Savinjska";"Skupaj";"15-64";1465
"1200";2011;"Savinjska";"Skupaj";"15-24";1026
"1201";2011;"Savinjska";"Skupaj";"25-34";1297
"1202";2011;"Savinjska";"Skupaj";"35-44";1477
"1203";2011;"Savinjska";"Skupaj";"45-54";1536
"1204";2011;"Savinjska";"Skupaj";"55-64";1823
"1205";2012;"Savinjska";"Skupaj";"Skupaj";1489
"1206";2012;"Savinjska";"Skupaj";"15-64";1488
"1207";2012;"Savinjska";"Skupaj";"15-24";1066
"1208";2012;"Savinjska";"Skupaj";"25-34";1307
"1209";2012;"Savinjska";"Skupaj";"35-44";1506
"1210";2012;"Savinjska";"Skupaj";"45-54";1560
"1211";2012;"Savinjska";"Skupaj";"55-64";1821
"1212";2013;"Savinjska";"Skupaj";"Skupaj";1492
"1213";2013;"Savinjska";"Skupaj";"15-64";1490
"1214";2013;"Savinjska";"Skupaj";"15-24";1071
"1215";2013;"Savinjska";"Skupaj";"25-34";1301
"1216";2013;"Savinjska";"Skupaj";"35-44";1506
"1217";2013;"Savinjska";"Skupaj";"45-54";1556
"1218";2013;"Savinjska";"Skupaj";"55-64";1782
"1219";2014;"Savinjska";"Skupaj";"Skupaj";1533
"1220";2014;"Savinjska";"Skupaj";"15-64";1531
"1221";2014;"Savinjska";"Skupaj";"15-24";1099
"1222";2014;"Savinjska";"Skupaj";"25-34";1328
"1223";2014;"Savinjska";"Skupaj";"35-44";1552
"1224";2014;"Savinjska";"Skupaj";"45-54";1593
"1225";2014;"Savinjska";"Skupaj";"55-64";1776
"1226";2015;"Savinjska";"Skupaj";"Skupaj";1548
"1227";2015;"Savinjska";"Skupaj";"15-64";1546
"1228";2015;"Savinjska";"Skupaj";"15-24";1102
"1229";2015;"Savinjska";"Skupaj";"25-34";1337
"1230";2015;"Savinjska";"Skupaj";"35-44";1568
"1231";2015;"Savinjska";"Skupaj";"45-54";1597
"1232";2015;"Savinjska";"Skupaj";"55-64";1790
"1233";2016;"Savinjska";"Skupaj";"Skupaj";1574
"1234";2016;"Savinjska";"Skupaj";"15-64";1572
"1235";2016;"Savinjska";"Skupaj";"15-24";1098
"1236";2016;"Savinjska";"Skupaj";"25-34";1353
"1237";2016;"Savinjska";"Skupaj";"35-44";1595
"1238";2016;"Savinjska";"Skupaj";"45-54";1625
"1239";2016;"Savinjska";"Skupaj";"55-64";1796
"1240";2017;"Savinjska";"Skupaj";"Skupaj";1616
"1241";2017;"Savinjska";"Skupaj";"15-64";1614
"1242";2017;"Savinjska";"Skupaj";"15-24";1136
"1243";2017;"Savinjska";"Skupaj";"25-34";1387
"1244";2017;"Savinjska";"Skupaj";"35-44";1634
"1245";2017;"Savinjska";"Skupaj";"45-54";1678
"1246";2017;"Savinjska";"Skupaj";"55-64";1818
"1247";2018;"Savinjska";"Skupaj";"Skupaj";1667
"1248";2018;"Savinjska";"Skupaj";"15-64";1664
"1249";2018;"Savinjska";"Skupaj";"15-24";1208
"1250";2018;"Savinjska";"Skupaj";"25-34";1442
"1251";2018;"Savinjska";"Skupaj";"35-44";1689
"1252";2018;"Savinjska";"Skupaj";"45-54";1725
"1253";2018;"Savinjska";"Skupaj";"55-64";1852
"1254";2019;"Savinjska";"Skupaj";"Skupaj";1726
"1255";2019;"Savinjska";"Skupaj";"15-64";1722
"1256";2019;"Savinjska";"Skupaj";"15-24";1244
"1257";2019;"Savinjska";"Skupaj";"25-34";1496
"1258";2019;"Savinjska";"Skupaj";"35-44";1753
"1259";2019;"Savinjska";"Skupaj";"45-54";1792
"1260";2019;"Savinjska";"Skupaj";"55-64";1902
"1261";2008;"Zasavska";"moški";"Skupaj";1405
"1262";2008;"Zasavska";"moški";"15-64";1402
"1263";2008;"Zasavska";"moški";"15-24";900
"1264";2008;"Zasavska";"moški";"25-34";1243
"1265";2008;"Zasavska";"moški";"35-44";1484
"1266";2008;"Zasavska";"moški";"45-54";1495
"1267";2008;"Zasavska";"moški";"55-64";1589
"1268";2009;"Zasavska";"moški";"Skupaj";1426
"1269";2009;"Zasavska";"moški";"15-64";1421
"1270";2009;"Zasavska";"moški";"15-24";902
"1271";2009;"Zasavska";"moški";"25-34";1264
"1272";2009;"Zasavska";"moški";"35-44";1504
"1273";2009;"Zasavska";"moški";"45-54";1514
"1274";2009;"Zasavska";"moški";"55-64";1638
"1275";2010;"Zasavska";"moški";"Skupaj";1485
"1276";2010;"Zasavska";"moški";"15-64";1483
"1277";2010;"Zasavska";"moški";"15-24";986
"1278";2010;"Zasavska";"moški";"25-34";1302
"1279";2010;"Zasavska";"moški";"35-44";1556
"1280";2010;"Zasavska";"moški";"45-54";1591
"1281";2010;"Zasavska";"moški";"55-64";1748
"1282";2011;"Zasavska";"moški";"Skupaj";1541
"1283";2011;"Zasavska";"moški";"15-64";1539
"1284";2011;"Zasavska";"moški";"15-24";1040
"1285";2011;"Zasavska";"moški";"25-34";1319
"1286";2011;"Zasavska";"moški";"35-44";1627
"1287";2011;"Zasavska";"moški";"45-54";1629
"1288";2011;"Zasavska";"moški";"55-64";1825
"1289";2012;"Zasavska";"moški";"Skupaj";1543
"1290";2012;"Zasavska";"moški";"15-64";1541
"1291";2012;"Zasavska";"moški";"15-24";1020
"1292";2012;"Zasavska";"moški";"25-34";1321
"1293";2012;"Zasavska";"moški";"35-44";1620
"1294";2012;"Zasavska";"moški";"45-54";1617
"1295";2012;"Zasavska";"moški";"55-64";1884
"1296";2013;"Zasavska";"moški";"Skupaj";1540
"1297";2013;"Zasavska";"moški";"15-64";1539
"1298";2013;"Zasavska";"moški";"15-24";1050
"1299";2013;"Zasavska";"moški";"25-34";1330
"1300";2013;"Zasavska";"moški";"35-44";1601
"1301";2013;"Zasavska";"moški";"45-54";1596
"1302";2013;"Zasavska";"moški";"55-64";1867
"1303";2014;"Zasavska";"moški";"Skupaj";1569
"1304";2014;"Zasavska";"moški";"15-64";1569
"1305";2014;"Zasavska";"moški";"15-24";1041
"1306";2014;"Zasavska";"moški";"25-34";1370
"1307";2014;"Zasavska";"moški";"35-44";1631
"1308";2014;"Zasavska";"moški";"45-54";1615
"1309";2014;"Zasavska";"moški";"55-64";1816
"1310";2015;"Zasavska";"moški";"Skupaj";1569
"1311";2015;"Zasavska";"moški";"15-64";NA
"1312";2015;"Zasavska";"moški";"15-24";NA
"1313";2015;"Zasavska";"moški";"25-34";1367
"1314";2015;"Zasavska";"moški";"35-44";1633
"1315";2015;"Zasavska";"moški";"45-54";1629
"1316";2015;"Zasavska";"moški";"55-64";1731
"1317";2016;"Zasavska";"moški";"Skupaj";1598
"1318";2016;"Zasavska";"moški";"15-64";NA
"1319";2016;"Zasavska";"moški";"15-24";NA
"1320";2016;"Zasavska";"moški";"25-34";1403
"1321";2016;"Zasavska";"moški";"35-44";1642
"1322";2016;"Zasavska";"moški";"45-54";1680
"1323";2016;"Zasavska";"moški";"55-64";1771
"1324";2017;"Zasavska";"moški";"Skupaj";1649
"1325";2017;"Zasavska";"moški";"15-64";NA
"1326";2017;"Zasavska";"moški";"15-24";NA
"1327";2017;"Zasavska";"moški";"25-34";1452
"1328";2017;"Zasavska";"moški";"35-44";1696
"1329";2017;"Zasavska";"moški";"45-54";1739
"1330";2017;"Zasavska";"moški";"55-64";1780
"1331";2018;"Zasavska";"moški";"Skupaj";1711
"1332";2018;"Zasavska";"moški";"15-64";NA
"1333";2018;"Zasavska";"moški";"15-24";NA
"1334";2018;"Zasavska";"moški";"25-34";1524
"1335";2018;"Zasavska";"moški";"35-44";1777
"1336";2018;"Zasavska";"moški";"45-54";1777
"1337";2018;"Zasavska";"moški";"55-64";1834
"1338";2019;"Zasavska";"moški";"Skupaj";1773
"1339";2019;"Zasavska";"moški";"15-64";NA
"1340";2019;"Zasavska";"moški";"15-24";1278
"1341";2019;"Zasavska";"moški";"25-34";1567
"1342";2019;"Zasavska";"moški";"35-44";1834
"1343";2019;"Zasavska";"moški";"45-54";NA
"1344";2019;"Zasavska";"moški";"55-64";1935
"1345";2008;"Zasavska";"ženske";"Skupaj";1251
"1346";2008;"Zasavska";"ženske";"15-64";1251
"1347";2008;"Zasavska";"ženske";"15-24";843
"1348";2008;"Zasavska";"ženske";"25-34";1176
"1349";2008;"Zasavska";"ženske";"35-44";1227
"1350";2008;"Zasavska";"ženske";"45-54";1296
"1351";2008;"Zasavska";"ženske";"55-64";1738
"1352";2009;"Zasavska";"ženske";"Skupaj";1334
"1353";2009;"Zasavska";"ženske";"15-64";1334
"1354";2009;"Zasavska";"ženske";"15-24";870
"1355";2009;"Zasavska";"ženske";"25-34";1224
"1356";2009;"Zasavska";"ženske";"35-44";1300
"1357";2009;"Zasavska";"ženske";"45-54";1399
"1358";2009;"Zasavska";"ženske";"55-64";1797
"1359";2010;"Zasavska";"ženske";"Skupaj";1390
"1360";2010;"Zasavska";"ženske";"15-64";1389
"1361";2010;"Zasavska";"ženske";"15-24";911
"1362";2010;"Zasavska";"ženske";"25-34";1277
"1363";2010;"Zasavska";"ženske";"35-44";1381
"1364";2010;"Zasavska";"ženske";"45-54";1435
"1365";2010;"Zasavska";"ženske";"55-64";1768
"1366";2011;"Zasavska";"ženske";"Skupaj";1422
"1367";2011;"Zasavska";"ženske";"15-64";1421
"1368";2011;"Zasavska";"ženske";"15-24";960
"1369";2011;"Zasavska";"ženske";"25-34";1272
"1370";2011;"Zasavska";"ženske";"35-44";1425
"1371";2011;"Zasavska";"ženske";"45-54";1462
"1372";2011;"Zasavska";"ženske";"55-64";1795
"1373";2012;"Zasavska";"ženske";"Skupaj";1432
"1374";2012;"Zasavska";"ženske";"15-64";1432
"1375";2012;"Zasavska";"ženske";"15-24";997
"1376";2012;"Zasavska";"ženske";"25-34";1267
"1377";2012;"Zasavska";"ženske";"35-44";1454
"1378";2012;"Zasavska";"ženske";"45-54";1448
"1379";2012;"Zasavska";"ženske";"55-64";1840
"1380";2013;"Zasavska";"ženske";"Skupaj";1436
"1381";2013;"Zasavska";"ženske";"15-64";1436
"1382";2013;"Zasavska";"ženske";"15-24";1041
"1383";2013;"Zasavska";"ženske";"25-34";1263
"1384";2013;"Zasavska";"ženske";"35-44";1463
"1385";2013;"Zasavska";"ženske";"45-54";1438
"1386";2013;"Zasavska";"ženske";"55-64";1789
"1387";2014;"Zasavska";"ženske";"Skupaj";1464
"1388";2014;"Zasavska";"ženske";"15-64";1464
"1389";2014;"Zasavska";"ženske";"15-24";982
"1390";2014;"Zasavska";"ženske";"25-34";1281
"1391";2014;"Zasavska";"ženske";"35-44";1490
"1392";2014;"Zasavska";"ženske";"45-54";1463
"1393";2014;"Zasavska";"ženske";"55-64";1742
"1394";2015;"Zasavska";"ženske";"Skupaj";1480
"1395";2015;"Zasavska";"ženske";"15-64";NA
"1396";2015;"Zasavska";"ženske";"15-24";NA
"1397";2015;"Zasavska";"ženske";"25-34";1289
"1398";2015;"Zasavska";"ženske";"35-44";1506
"1399";2015;"Zasavska";"ženske";"45-54";1492
"1400";2015;"Zasavska";"ženske";"55-64";1697
"1401";2016;"Zasavska";"ženske";"Skupaj";1518
"1402";2016;"Zasavska";"ženske";"15-64";NA
"1403";2016;"Zasavska";"ženske";"15-24";NA
"1404";2016;"Zasavska";"ženske";"25-34";1289
"1405";2016;"Zasavska";"ženske";"35-44";1550
"1406";2016;"Zasavska";"ženske";"45-54";1535
"1407";2016;"Zasavska";"ženske";"55-64";1709
"1408";2017;"Zasavska";"ženske";"Skupaj";1541
"1409";2017;"Zasavska";"ženske";"15-64";NA
"1410";2017;"Zasavska";"ženske";"15-24";NA
"1411";2017;"Zasavska";"ženske";"25-34";1302
"1412";2017;"Zasavska";"ženske";"35-44";1567
"1413";2017;"Zasavska";"ženske";"45-54";1572
"1414";2017;"Zasavska";"ženske";"55-64";1715
"1415";2018;"Zasavska";"ženske";"Skupaj";1590
"1416";2018;"Zasavska";"ženske";"15-64";NA
"1417";2018;"Zasavska";"ženske";"15-24";NA
"1418";2018;"Zasavska";"ženske";"25-34";1346
"1419";2018;"Zasavska";"ženske";"35-44";1620
"1420";2018;"Zasavska";"ženske";"45-54";1622
"1421";2018;"Zasavska";"ženske";"55-64";1751
"1422";2019;"Zasavska";"ženske";"Skupaj";1679
"1423";2019;"Zasavska";"ženske";"15-64";NA
"1424";2019;"Zasavska";"ženske";"15-24";1182
"1425";2019;"Zasavska";"ženske";"25-34";1410
"1426";2019;"Zasavska";"ženske";"35-44";1706
"1427";2019;"Zasavska";"ženske";"45-54";NA
"1428";2019;"Zasavska";"ženske";"55-64";1823
"1429";2008;"Zasavska";"Skupaj";"Skupaj";1337
"1430";2008;"Zasavska";"Skupaj";"15-64";1335
"1431";2008;"Zasavska";"Skupaj";"15-24";885
"1432";2008;"Zasavska";"Skupaj";"25-34";1215
"1433";2008;"Zasavska";"Skupaj";"35-44";1363
"1434";2008;"Zasavska";"Skupaj";"45-54";1395
"1435";2008;"Zasavska";"Skupaj";"55-64";1628
"1436";2009;"Zasavska";"Skupaj";"Skupaj";1384
"1437";2009;"Zasavska";"Skupaj";"15-64";1382
"1438";2009;"Zasavska";"Skupaj";"15-24";893
"1439";2009;"Zasavska";"Skupaj";"25-34";1248
"1440";2009;"Zasavska";"Skupaj";"35-44";1405
"1441";2009;"Zasavska";"Skupaj";"45-54";1454
"1442";2009;"Zasavska";"Skupaj";"55-64";1688
"1443";2010;"Zasavska";"Skupaj";"Skupaj";1441
"1444";2010;"Zasavska";"Skupaj";"15-64";1440
"1445";2010;"Zasavska";"Skupaj";"15-24";967
"1446";2010;"Zasavska";"Skupaj";"25-34";1292
"1447";2010;"Zasavska";"Skupaj";"35-44";1470
"1448";2010;"Zasavska";"Skupaj";"45-54";1509
"1449";2010;"Zasavska";"Skupaj";"55-64";1755
"1450";2011;"Zasavska";"Skupaj";"Skupaj";1484
"1451";2011;"Zasavska";"Skupaj";"15-64";1483
"1452";2011;"Zasavska";"Skupaj";"15-24";1015
"1453";2011;"Zasavska";"Skupaj";"25-34";1300
"1454";2011;"Zasavska";"Skupaj";"35-44";1527
"1455";2011;"Zasavska";"Skupaj";"45-54";1539
"1456";2011;"Zasavska";"Skupaj";"55-64";1814
"1457";2012;"Zasavska";"Skupaj";"Skupaj";1490
"1458";2012;"Zasavska";"Skupaj";"15-64";1489
"1459";2012;"Zasavska";"Skupaj";"15-24";1014
"1460";2012;"Zasavska";"Skupaj";"25-34";1299
"1461";2012;"Zasavska";"Skupaj";"35-44";1539
"1462";2012;"Zasavska";"Skupaj";"45-54";1525
"1463";2012;"Zasavska";"Skupaj";"55-64";1867
"1464";2013;"Zasavska";"Skupaj";"Skupaj";1490
"1465";2013;"Zasavska";"Skupaj";"15-64";1490
"1466";2013;"Zasavska";"Skupaj";"15-24";1047
"1467";2013;"Zasavska";"Skupaj";"25-34";1304
"1468";2013;"Zasavska";"Skupaj";"35-44";1532
"1469";2013;"Zasavska";"Skupaj";"45-54";1509
"1470";2013;"Zasavska";"Skupaj";"55-64";1835
"1471";2014;"Zasavska";"Skupaj";"Skupaj";1519
"1472";2014;"Zasavska";"Skupaj";"15-64";1518
"1473";2014;"Zasavska";"Skupaj";"15-24";1026
"1474";2014;"Zasavska";"Skupaj";"25-34";1335
"1475";2014;"Zasavska";"Skupaj";"35-44";1561
"1476";2014;"Zasavska";"Skupaj";"45-54";1532
"1477";2014;"Zasavska";"Skupaj";"55-64";1784
"1478";2015;"Zasavska";"Skupaj";"Skupaj";1527
"1479";2015;"Zasavska";"Skupaj";"15-64";1525
"1480";2015;"Zasavska";"Skupaj";"15-24";1104
"1481";2015;"Zasavska";"Skupaj";"25-34";1337
"1482";2015;"Zasavska";"Skupaj";"35-44";1571
"1483";2015;"Zasavska";"Skupaj";"45-54";1555
"1484";2015;"Zasavska";"Skupaj";"55-64";1715
"1485";2016;"Zasavska";"Skupaj";"Skupaj";1560
"1486";2016;"Zasavska";"Skupaj";"15-64";1559
"1487";2016;"Zasavska";"Skupaj";"15-24";1090
"1488";2016;"Zasavska";"Skupaj";"25-34";1359
"1489";2016;"Zasavska";"Skupaj";"35-44";1598
"1490";2016;"Zasavska";"Skupaj";"45-54";1603
"1491";2016;"Zasavska";"Skupaj";"55-64";1739
"1492";2017;"Zasavska";"Skupaj";"Skupaj";1598
"1493";2017;"Zasavska";"Skupaj";"15-64";1597
"1494";2017;"Zasavska";"Skupaj";"15-24";1123
"1495";2017;"Zasavska";"Skupaj";"25-34";1393
"1496";2017;"Zasavska";"Skupaj";"35-44";1635
"1497";2017;"Zasavska";"Skupaj";"45-54";1651
"1498";2017;"Zasavska";"Skupaj";"55-64";1746
"1499";2018;"Zasavska";"Skupaj";"Skupaj";1654
"1500";2018;"Zasavska";"Skupaj";"15-64";1653
"1501";2018;"Zasavska";"Skupaj";"15-24";1193
"1502";2018;"Zasavska";"Skupaj";"25-34";1456
"1503";2018;"Zasavska";"Skupaj";"35-44";1704
"1504";2018;"Zasavska";"Skupaj";"45-54";1698
"1505";2018;"Zasavska";"Skupaj";"55-64";1791
"1506";2019;"Zasavska";"Skupaj";"Skupaj";1730
"1507";2019;"Zasavska";"Skupaj";"15-64";1729
"1508";2019;"Zasavska";"Skupaj";"15-24";1253
"1509";2019;"Zasavska";"Skupaj";"25-34";1507
"1510";2019;"Zasavska";"Skupaj";"35-44";1776
"1511";2019;"Zasavska";"Skupaj";"45-54";1792
"1512";2019;"Zasavska";"Skupaj";"55-64";1877
"1513";2008;"Posavska";"moški";"Skupaj";1370
"1514";2008;"Posavska";"moški";"15-64";1367
"1515";2008;"Posavska";"moški";"15-24";943
"1516";2008;"Posavska";"moški";"25-34";1230
"1517";2008;"Posavska";"moški";"35-44";1374
"1518";2008;"Posavska";"moški";"45-54";1504
"1519";2008;"Posavska";"moški";"55-64";1614
"1520";2009;"Posavska";"moški";"Skupaj";1385
"1521";2009;"Posavska";"moški";"15-64";1382
"1522";2009;"Posavska";"moški";"15-24";956
"1523";2009;"Posavska";"moški";"25-34";1225
"1524";2009;"Posavska";"moški";"35-44";1395
"1525";2009;"Posavska";"moški";"45-54";1536
"1526";2009;"Posavska";"moški";"55-64";1641
"1527";2010;"Posavska";"moški";"Skupaj";1436
"1528";2010;"Posavska";"moški";"15-64";1433
"1529";2010;"Posavska";"moški";"15-24";992
"1530";2010;"Posavska";"moški";"25-34";1278
"1531";2010;"Posavska";"moški";"35-44";1456
"1532";2010;"Posavska";"moški";"45-54";1548
"1533";2010;"Posavska";"moški";"55-64";1812
"1534";2011;"Posavska";"moški";"Skupaj";1512
"1535";2011;"Posavska";"moški";"15-64";1510
"1536";2011;"Posavska";"moški";"15-24";1064
"1537";2011;"Posavska";"moški";"25-34";1341
"1538";2011;"Posavska";"moški";"35-44";1526
