"";"LETO";"STATISTICNA_REGIJA";"SPOL";"STAROST";"PLACE"
"160";2018;"SLOVENIJA";"ženske";"45-54";1771
"161";2018;"SLOVENIJA";"ženske";"55-64";1905
"162";2019;"SLOVENIJA";"ženske";"Skupaj";1790
"163";2019;"SLOVENIJA";"ženske";"15-64";1787
"164";2019;"SLOVENIJA";"ženske";"15-24";1146
"165";2019;"SLOVENIJA";"ženske";"25-34";1474
"166";2019;"SLOVENIJA";"ženske";"35-44";1780
"167";2019;"SLOVENIJA";"ženske";"45-54";1867
"168";2019;"SLOVENIJA";"ženske";"55-64";1987
"169";2008;"SLOVENIJA";"Skupaj";"Skupaj";1427
"170";2008;"SLOVENIJA";"Skupaj";"15-64";1423
"171";2008;"SLOVENIJA";"Skupaj";"15-24";901
"172";2008;"SLOVENIJA";"Skupaj";"25-34";1255
"173";2008;"SLOVENIJA";"Skupaj";"35-44";1455
"174";2008;"SLOVENIJA";"Skupaj";"45-54";1489
"175";2008;"SLOVENIJA";"Skupaj";"55-64";1796
"176";2009;"SLOVENIJA";"Skupaj";"Skupaj";1477
"177";2009;"SLOVENIJA";"Skupaj";"15-64";1473
"178";2009;"SLOVENIJA";"Skupaj";"15-24";910
"179";2009;"SLOVENIJA";"Skupaj";"25-34";1278
"180";2009;"SLOVENIJA";"Skupaj";"35-44";1511
"181";2009;"SLOVENIJA";"Skupaj";"45-54";1552
"182";2009;"SLOVENIJA";"Skupaj";"55-64";1860
"183";2010;"SLOVENIJA";"Skupaj";"Skupaj";1538
"184";2010;"SLOVENIJA";"Skupaj";"15-64";1535
"185";2010;"SLOVENIJA";"Skupaj";"15-24";972
"186";2010;"SLOVENIJA";"Skupaj";"25-34";1328
"187";2010;"SLOVENIJA";"Skupaj";"35-44";1571
"188";2010;"SLOVENIJA";"Skupaj";"45-54";1611
"189";2010;"SLOVENIJA";"Skupaj";"55-64";1944
"190";2011;"SLOVENIJA";"Skupaj";"Skupaj";1582
"191";2011;"SLOVENIJA";"Skupaj";"15-64";1579
"192";2011;"SLOVENIJA";"Skupaj";"15-24";1022
"193";2011;"SLOVENIJA";"Skupaj";"25-34";1356
"194";2011;"SLOVENIJA";"Skupaj";"35-44";1614
"195";2011;"SLOVENIJA";"Skupaj";"45-54";1650
"196";2011;"SLOVENIJA";"Skupaj";"55-64";1959
"197";2012;"SLOVENIJA";"Skupaj";"Skupaj";1601
"198";2012;"SLOVENIJA";"Skupaj";"15-64";1597
"199";2012;"SLOVENIJA";"Skupaj";"15-24";1037
"200";2012;"SLOVENIJA";"Skupaj";"25-34";1366
"201";2012;"SLOVENIJA";"Skupaj";"35-44";1638
"202";2012;"SLOVENIJA";"Skupaj";"45-54";1666
"203";2012;"SLOVENIJA";"Skupaj";"55-64";1959
"204";2013;"SLOVENIJA";"Skupaj";"Skupaj";1598
"205";2013;"SLOVENIJA";"Skupaj";"15-64";1594
"206";2013;"SLOVENIJA";"Skupaj";"15-24";1047
"207";2013;"SLOVENIJA";"Skupaj";"25-34";1356
"208";2013;"SLOVENIJA";"Skupaj";"35-44";1633
"209";2013;"SLOVENIJA";"Skupaj";"45-54";1658
"210";2013;"SLOVENIJA";"Skupaj";"55-64";1896
