"","Leto","Drzava","BDP_na_prebivalca"
"405",2019,"Denmark",53760
"406",2019,"Germany",41510
"407",2019,"Estonia",21220
"408",2019,"Ireland",72260
"409",2019,"Greece",17100
"410",2019,"Spain",26430
"411",2019,"France",35960
"412",2019,"Croatia",13340
"413",2019,"Italy",29660
"414",2019,"Cyprus",25310
"415",2019,"Latvia",15920
"416",2019,"Lithuania",17460
"417",2019,"Luxembourg",102200
"418",2019,"Hungary",14950
"419",2019,"Malta",26670
"420",2019,"Netherlands",46710
"421",2019,"Austria",44780
"422",2019,"Poland",13870
"423",2019,"Portugal",20740
"424",2019,"Romania",11530
"425",2019,"Slovenia",23170
"426",2019,"Slovakia",17210
"427",2019,"Finland",43570
"428",2019,"Sweden",46160
"429",2019,"United Kingdom",37770
"430",2019,"Iceland",60000
"431",2019,"Norway",67370
"432",2019,"Switzerland",76200
"433",2019,"Montenegro",7960
"434",2019,"Albania",4780
"435",2019,"Serbia",6620
"436",2019,"Turkey",8230
