"","Leto","Drzava","BDP"
"264",2014,"Albania",9968.6
"265",2014,"Serbia",35467.5
"266",2014,"Turkey",707000.8
"267",2014,"Bosnia and Herzegovina",13988.3
"268",2014,"Kosovo",5567.5
"269",2015,"Belgium",416701.4
"270",2015,"Bulgaria",45690.9
"271",2015,"Czechia",169558.2
"272",2015,"Denmark",273017.6
"273",2015,"Germany",3026180
"274",2015,"Estonia",20782.2
"275",2015,"Ireland",262853.3
"276",2015,"Greece",176110.2
"277",2015,"Spain",1077590
"278",2015,"France",2198432
"279",2015,"Croatia",44612
"280",2015,"Italy",1655355
"281",2015,"Cyprus",17884
"282",2015,"Latvia",24560.9
"283",2015,"Lithuania",37345.7
"284",2015,"Luxembourg",52065.8
"285",2015,"Hungary",112701
"286",2015,"Malta",9996.7
"287",2015,"Netherlands",690008
"288",2015,"Austria",344269.2
"289",2015,"Poland",430465.8
"290",2015,"Portugal",179713.2
"291",2015,"Romania",160149.8
"292",2015,"Slovenia",38852.6
"293",2015,"Slovakia",79767.6
"294",2015,"Finland",211385
"295",2015,"Sweden",455494.7
"296",2015,"United Kingdom",2644716.5
"297",2015,"Iceland",15679.8
"298",2015,"Liechtenstein",5649.1
"299",2015,"Norway",347632.1
"300",2015,"Switzerland",632770.5
"301",2015,"Montenegro",3654.5
"302",2015,"North Macedonia",9072.3
"303",2015,"Albania",10264.1
"304",2015,"Serbia",35740.2
"305",2015,"Turkey",777042.3
"306",2015,"Bosnia and Herzegovina",14617.4
"307",2015,"Kosovo",5807
"308",2016,"Belgium",430085.3
"309",2016,"Bulgaria",48640.2
"310",2016,"Czechia",177438.5
"311",2016,"Denmark",283109.7
"312",2016,"Germany",3134740
"313",2016,"Estonia",21931.5
"314",2016,"Ireland",270809.5
"315",2016,"Greece",174236.9
"316",2016,"Spain",1113840
"317",2016,"France",2234129
"318",2016,"Croatia",46619.3
"319",2016,"Italy",1695786.8
"320",2016,"Cyprus",18929.3
"321",2016,"Latvia",25360.3
"322",2016,"Lithuania",38889.9
"323",2016,"Luxembourg",54867.2
"324",2016,"Hungary",116129.8
"325",2016,"Malta",10571.5
"326",2016,"Netherlands",708337
"327",2016,"Austria",357608
"328",2016,"Poland",427091.8
"329",2016,"Portugal",186489.8
"330",2016,"Romania",170063.4
"331",2016,"Slovenia",40443.2
"332",2016,"Slovakia",81051.5
"333",2016,"Finland",217518
"334",2016,"Sweden",466266.5
"335",2016,"United Kingdom",2434119.2
"336",2016,"Iceland",18646.1
"337",2016,"Liechtenstein",5637.7
"338",2016,"Norway",333471.3
"339",2016,"Switzerland",628729.6
"340",2016,"Montenegro",3954.2
"341",2016,"North Macedonia",9656.5
"342",2016,"Albania",10719.9
"343",2016,"Serbia",36779.3
"344",2016,"Turkey",785618.9
"345",2016,"Bosnia and Herzegovina",15289.9
"346",2016,"Kosovo",6070.1
"347",2017,"Belgium",444991.1
"348",2017,"Bulgaria",52329
"349",2017,"Czechia",194132.9
"350",2017,"Denmark",294808.2
"351",2017,"Germany",3259860
"352",2017,"Estonia",23857.7
"353",2017,"Ireland",300386.9
"354",2017,"Greece",177151.9
"355",2017,"Spain",1161867
"356",2017,"France",2297242
"357",2017,"Croatia",49238.5
"358",2017,"Italy",1736592.8
"359",2017,"Cyprus",20119.9
"360",2017,"Latvia",26962.3
"361",2017,"Lithuania",42276.3
"362",2017,"Luxembourg",56814.2
"363",2017,"Hungary",126891
"364",2017,"Malta",11674.7
"365",2017,"Netherlands",738146
"366",2017,"Austria",369341.3
"367",2017,"Poland",467426.6
"368",2017,"Portugal",195947.2
"369",2017,"Romania",187772.7
"370",2017,"Slovenia",43009.1
"371",2017,"Slovakia",84532.2
"372",2017,"Finland",225933
"373",2017,"Sweden",480025.5
"374",2017,"United Kingdom",2359789.9
"375",2017,"Iceland",21699.1
"376",2017,"Liechtenstein",5804.3
"377",2017,"Norway",353316.4
"378",2017,"Switzerland",623994
"379",2017,"Montenegro",4299.1
"380",2017,"North Macedonia",10038.3
"381",2017,"Albania",11559
"382",2017,"Serbia",39235.3
"383",2017,"Turkey",760497.1
"384",2017,"Bosnia and Herzegovina",16042.4
"385",2017,"Kosovo",6413.8
"386",2018,"Belgium",460419.4
"387",2018,"Bulgaria",56111.8
"388",2018,"Czechia",210892.7
"389",2018,"Denmark",302361.1
"390",2018,"Germany",3356410
"391",2018,"Estonia",25937.6
"392",2018,"Ireland",326986.1
"393",2018,"Greece",179727.3
"394",2018,"Spain",1204241
"395",2018,"France",2360687
"396",2018,"Croatia",51950.1
"397",2018,"Italy",1771063.1
"398",2018,"Cyprus",21432.4
"399",2018,"Latvia",29142.5
"400",2018,"Lithuania",45491.1
"401",2018,"Luxembourg",60053.1
"402",2018,"Hungary",135931
"403",2018,"Malta",12508.3
"404",2018,"Netherlands",773987
"405",2018,"Austria",385361.9
"406",2018,"Poland",497842.3
"407",2018,"Portugal",205184.1
"408",2018,"Romania",204496.9
"409",2018,"Slovenia",45862.6
"410",2018,"Slovakia",89505.5
"411",2018,"Finland",233664
"412",2018,"Sweden",470673.1
"413",2018,"United Kingdom",2420897.2
"414",2018,"Iceland",21796.7
"415",2018,"Liechtenstein",5822.5
"416",2018,"Norway",367893.7
"417",2018,"Switzerland",623042.2
"418",2018,"Montenegro",4663.1
"419",2018,"North Macedonia",10744
"420",2018,"Albania",12820.1
"421",2018,"Serbia",42892.2
"422",2018,"Turkey",658464.1
"423",2018,"Bosnia and Herzegovina",17099.7
"424",2018,"Kosovo",6725.9
"425",2019,"Belgium",476203.3
"426",2019,"Bulgaria",61239.5
"427",2019,"Czechia",223945
"428",2019,"Denmark",312747.2
"429",2019,"Germany",3449050
"430",2019,"Estonia",28112.4
"431",2019,"Ireland",356051.2
"432",2019,"Greece",183413.5
"433",2019,"Spain",1244772
"434",2019,"France",2425708
"435",2019,"Croatia",54237.9
"436",2019,"Italy",1789747
"437",2019,"Cyprus",22286.9
"438",2019,"Latvia",30463.3
"439",2019,"Lithuania",48797.4
"440",2019,"Luxembourg",63516.3
"441",2019,"Hungary",146061.8
"442",2019,"Malta",13462.4
"443",2019,"Netherlands",810247
"444",2019,"Austria",397575.3
"445",2019,"Poland",532329.2
"446",2019,"Portugal",213301
"447",2019,"Romania",223337.4
"448",2019,"Slovenia",48392.6
"449",2019,"Slovakia",93865.2
"450",2019,"Finland",240556
"451",2019,"Sweden",474468.2
"452",2019,"United Kingdom",2522713.2
"453",2019,"Iceland",21635.2
"454",2019,"Norway",360300.9
"455",2019,"Switzerland",653470.8
"456",2019,"Montenegro",4950.7
"457",2019,"North Macedonia",11209.1
"458",2019,"Albania",13644.7
"459",2019,"Serbia",45970.4
"460",2019,"Turkey",679510.4
"461",2019,"Bosnia and Herzegovina",18012.2
"462",2019,"Kosovo",7103.8
